part_number,capture_sequence,block_index,section_code,image_relative_path,propaedia_page_reference,crop_top_pct,crop_bottom_pct,header_context_override,topic_summary_override,capture_status,notes
1,1,1,111,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,22,,,,,captured,
1,2,1,112,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,26,,,,,captured,
1,3,1,121,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg,28,,,,,captured,
1,4,1,122,propaedia_pages/part_1/propaedia-2010-part-01-photo-04.jpg,32,,,,,captured,
1,5,1,123,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,36,,,,,captured,
1,6,1,124,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,39,,,,,captured,
1,7,1,125,propaedia_pages/part_1/propaedia-2010-part-01-photo-07.jpg,42,,,,,captured,
1,8,1,126,propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg,44,,,,,captured,
1,9,1,127,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg,47,,,,,captured,
1,10,1,128,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,50,,,,,captured,
1,11,1,131,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,53,,,,,captured,
1,12,1,132,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,55,,,,,captured,
1,13,1,133,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,58,,,,,captured,
2,1,1,211,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,66,,,,,captured,
2,2,1,212,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,67,,,,,captured,
2,3,1,213,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,68,,,,,captured,
2,4,1,214,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,71,,,,,captured,
2,5,1,221,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg,74,,,,,captured,
2,6,1,222,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,76,,,,,captured,
2,7,1,223,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,78,,,,,captured,
2,8,1,231,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,80,,,,,captured,
2,9,1,232,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,84,,,,,captured,
2,10,1,241,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,86,,,,,captured,
2,11,1,242,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,88,,,,,captured,
2,12,1,243,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,89,,,,,captured,
3,1,1,311,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,96,,,,,captured,
3,2,1,312,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,97,,,,,captured,
3,3,1,313,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,100,,,,,captured,
3,4,1,321,propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,113,,,,,captured,
3,5,1,322,propaedia_pages/part_3/propaedia-2010-part-03-photo-05.jpg,115,,,,,captured,
3,6,1,323,propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg,116,,,,,captured,
3,7,1,331,propaedia_pages/part_3/propaedia-2010-part-03-photo-07.jpg,118,,,,,captured,
3,8,1,332,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,119,,,,,captured,
3,9,1,333,propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,121,,,,,captured,
3,10,1,334,propaedia_pages/part_3/propaedia-2010-part-03-photo-10.jpg,123,,,,,captured,
3,11,1,335,propaedia_pages/part_3/propaedia-2010-part-03-photo-11.jpg,124,,,,,captured,
3,12,1,336,propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,125,,,,,captured,
3,13,1,337,propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg,127,,,,,captured,
3,14,1,338,propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg,128,,,,,captured,
3,15,1,339,propaedia_pages/part_3/propaedia-2010-part-03-photo-15.jpg,129,,,,,captured,
3,16,1,341,propaedia_pages/part_3/propaedia-2010-part-03-photo-16.jpg,130,,,,,captured,
3,17,1,342,propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg,131,,,,,captured,
3,18,1,351,propaedia_pages/part_3/propaedia-2010-part-03-photo-18.jpg,133,,,,,captured,
3,19,1,352,propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,134,,,,,captured,
3,20,1,353,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,135,,,,,captured,
3,21,1,354,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,137,,,,,captured,
3,22,1,355,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,138,,,,,captured,
4,1,1,411,propaedia_pages/part_4/propaedia-2010-part-04-photo-01.jpg,144,,,,,captured,
4,2,1,412,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,145,,,,,captured,
4,3,1,421,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,148,,,,,captured,
4,4,1,422,propaedia_pages/part_4/propaedia-2010-part-04-photo-04.jpg,151,,,,,captured,
4,5,1,423,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,153,,,,,captured,
4,6,1,424,propaedia_pages/part_4/propaedia-2010-part-04-photo-06.jpg,159,,,,,captured,
4,7,1,431,propaedia_pages/part_4/propaedia-2010-part-04-photo-07.jpg,161,,,,,captured,
4,8,1,432,propaedia_pages/part_4/propaedia-2010-part-04-photo-08.jpg,163,,,,,captured,
4,9,1,433,propaedia_pages/part_4/propaedia-2010-part-04-photo-09.jpg,164,,,,,captured,
4,10,1,434,propaedia_pages/part_4/propaedia-2010-part-04-photo-10.jpg,165,0,35,Division III. Section 434,,captured,Shared image with block 2. Upper suggested-reading block belongs to Section 434.
4,10,2,435,propaedia_pages/part_4/propaedia-2010-part-04-photo-10.jpg,165,35,100,Division III. Section 435,,captured,Shared image with block 1. Lower suggested-reading block belongs to Section 435.
4,11,1,436,propaedia_pages/part_4/propaedia-2010-part-04-photo-11.jpg,167,,,,,captured,
