section_code,block_index,page,image,observed_title,matched_title,status,corrected_observed_title,corrected_matched_title,notes
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,"Analysis and Measurement, Physical and Chemical",Physical and Chemical ANALYSIS AND MEASUREMENT,verified,,,
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,"Physical Science, Principles of",Principles of PHYSICAL SCIENCE,verified,,,
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,"Analysis and Measurement, Physical and Chemical",Physical and Chemical ANALYSIS AND MEASUREMENT,verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,Subatomic Particles,SUBATOMIC PARTICLES,verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
123,1,36,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
124,1,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
124,1,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,"Thermodynamics, Principles of",Principles of THERMODYNAMICS,verified,,,
128,1,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,"Optics, Principles of",Principles of OPTICS,verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,"Analysis and Measurement, Physical and Chemical",Physical and Chemical ANALYSIS AND MEASUREMENT,verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,"Cosmos, The",The Cosmos,verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
132,1,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,"Cosmos, The",The Cosmos,verified,,,
132,1,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,"Physical Sciences, The",The PHYSICAL SCIENCES,verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,"Solar System, The",The SOLAR SYSTEM,verified,,,
211,1,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
211,1,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,"Solar System, The",The SOLAR SYSTEM,verified,,,
212,1,67,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
213,1,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
214,1,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
214,1,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,"Fuels, Fossil",Fossil FUELS,verified,,,
222,1,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
222,1,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,"Hydrosphere, The",The HYDROSPHERE,verified,,,
231,1,80,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
232,1,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
241,1,86,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
242,1,88,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
243,1,89,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,"Earth, The: Its Properties, Composition, and Structure","The EARTH: Its Properties, Composition, and Structure",verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Growth and Development, Biological",Biological GROWTH AND DEVELOPMENT,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Behaviour, Animal",Animal BEHAVIOUR,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Biological Sciences, The",The BIOLOGICAL SCIENCES,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Coloration, Biological",Biological COLORATION,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Evolution, The Theory of",The Theory of EVOLUTION,verified,,,
311,1,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,"Genetics and Heredity, The Principles of",The Principles of GENETICS AND HEREDITY,verified,,,
312,1,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,"Coloration, Biological",Biological COLORATION,verified,,,
312,1,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,"Evolution, Human",Human EVOLUTION,verified,,,
312,1,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,"Evolution, The Theory of",The Theory of EVOLUTION,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Angiosperms: The Flowering Plants,ANGIOSPERMS: The Flowering Plants,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Bacteria and Other Monerans,BACTERIA AND OTHER MONERANS,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Ferns and Other Lower Vascular Plants,FERNS AND OTHER LOWER VASCULAR PLANTS,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Flatworms: Phylum Platyhelminthes,FLATWORMS: Phylum Platyhelminthes,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Lamp Shells: Phylum Brachiopoda,,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Moss Animals: Phylum Bryozoa,Moss ANIMALS: Phylum Bryozoa,verified,,,
313,1,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,Sponges: Phylum Porifera,SPONGES: Phylum Porifera,verified,,,
337,1,127,propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg,"Behaviour, Animal",Animal BEHAVIOUR,verified,,,
338,1,128,propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg,"Growth and Development, Biological",Biological GROWTH AND DEVELOPMENT,verified,,,
339,1,129,propaedia_pages/part_3/propaedia-2010-part-03-photo-15.jpg,"Genetics and Heredity, The Principles of",The Principles of GENETICS AND HEREDITY,verified,,,
341,1,130,propaedia_pages/part_3/propaedia-2010-part-03-photo-16.jpg,"Behaviour, Animal",Animal BEHAVIOUR,verified,,,
342,1,131,propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg,"Behaviour, Animal",Animal BEHAVIOUR,verified,,,
342,1,131,propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg,"Learning, Animal",Animal LEARNING,verified,,,
352,1,134,propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,"Behaviour, Animal",Animal BEHAVIOUR,verified,,,
354,1,137,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,"Biosphere and Concepts of Ecology, The",The BIOSPHERE and Concepts of Ecology,verified,,,
355,1,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,"Biosphere and Concepts of Ecology, The",The BIOSPHERE and Concepts of Ecology,verified,,,
355,1,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,"Cats, Domestic",Domestic CATS,verified,,,
411,1,144,propaedia_pages/part_4/propaedia-2010-part-04-photo-01.jpg,"Evolution, Human",Human EVOLUTION,verified,,,
412,1,145,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,"Evolution, Human",Human EVOLUTION,verified,,,
412,1,145,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,"Genetics and Heredity, The Principles of",The Principles of GENETICS AND HEREDITY,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Biochemical Components of Organisms,Biochemical Components of Organisms,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Circulation and Circulatory Systems,CIRCULATION AND CIRCULATORY SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Digestion and Digestive Systems,DIGESTION AND DIGESTIVE SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Excretion and Excretory Systems,EXCRETION AND EXCRETORY SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Integumentary Systems,INTEGUMENTARY SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Muscles and Muscle Systems,MUSCLES AND MUSCLE SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Nerves and Nervous Systems,NERVES AND NERVOUS SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Reproduction and Reproductive Systems,REPRODUCTION AND REPRODUCTIVE SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Respiration and Respiratory Systems,RESPIRATION AND RESPIRATORY SYSTEMS,verified,,,
421,1,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Supportive and Connective Tissues,SUPPORTIVE AND CONNECTIVE TISSUES,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Childhood Diseases and Disorders,CHILDHOOD DISEASES,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Circulation and Circulatory Systems,CIRCULATION AND CIRCULATORY SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Diagnosis and Therapeutics,DIAGNOSIS AND THERAPEUTICS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Digestion and Digestive Systems,DIGESTION AND DIGESTIVE SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Excretion and Excretory Systems,EXCRETION AND EXCRETORY SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Integumentary Systems,INTEGUMENTARY SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Muscles and Muscle Systems,MUSCLES AND MUSCLE SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Nerves and Nervous Systems,NERVES AND NERVOUS SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Poisons and Poisoning,POISONS AND POISONING,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Respiration and Respiratory Systems,RESPIRATION AND RESPIRATORY SYSTEMS,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Supportive and Connective Tissues,SUPPORTIVE AND CONNECTIVE TISSUES,verified,,,
423,1,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,"Transplants, Organ and Tissue",Organ and Tissue TRANSPLANTS,verified,,,
431,1,161,propaedia_pages/part_4/propaedia-2010-part-04-photo-07.jpg,"Behaviour, The Development of Human",The Development of Human BEHAVIOUR,verified,,,
432,1,163,propaedia_pages/part_4/propaedia-2010-part-04-photo-08.jpg,"Perception, Human",Human PERCEPTION,verified,,,
433,1,164,propaedia_pages/part_4/propaedia-2010-part-04-photo-09.jpg,"Emotion, Human",Human EMOTION,verified,,,
433,1,164,propaedia_pages/part_4/propaedia-2010-part-04-photo-09.jpg,"Motivation, Human",Human MOTIVATION,verified,,,
434,1,165,propaedia_pages/part_4/propaedia-2010-part-04-photo-10.jpg,"Intelligence, Human",Human INTELLIGENCE,verified,,,
435,2,165,propaedia_pages/part_4/propaedia-2010-part-04-photo-10.jpg,"Learning and Cognition, Human",Human LEARNING AND COGNITION,verified,,,
436,1,167,propaedia_pages/part_4/propaedia-2010-part-04-photo-11.jpg,Mental Disorders and Their Treatment,MENTAL DISORDERS and Their Treatment,verified,,,
